"data_id","language","form","age","gender","mom_ed","comprehension","production"
88686,"English (British)","TEDS Twos",23,"Male","Primary",95,95
88687,"English (British)","TEDS Twos",24,"Male","None",28,28
88688,"English (British)","TEDS Twos",24,"Male","None",24,24
88689,"English (British)","TEDS Twos",23,"Male","College",55,55
88690,"English (British)","TEDS Twos",23,"Female","College",30,30
88691,"English (British)","TEDS Twos",24,"Female","Primary",33,33
88692,"English (British)","TEDS Twos",24,"Female","Primary",26,26
88693,"English (British)","TEDS Twos",25,"Female","Graduate",43,43
88694,"English (British)","TEDS Twos",25,"Female","Graduate",42,42
88695,"English (British)","TEDS Twos",24,"Female","Secondary",9,9
88696,"English (British)","TEDS Twos",24,"Female","Secondary",18,18
88697,"English (British)","TEDS Twos",23,"Female","Secondary",41,41
88698,"English (British)","TEDS Twos",24,"Female","Secondary",39,39
88699,"English (British)","TEDS Twos",26,"Male","Primary",83,83
88700,"English (British)","TEDS Twos",26,"Male","Primary",87,87
88701,"English (British)","TEDS Twos",24,"Male","Primary",42,42
88702,"English (British)","TEDS Twos",23,"Male","Primary",42,42
88703,"English (British)","TEDS Twos",24,"Female","Some Secondary",100,100
88704,"English (British)","TEDS Twos",24,"Male","Some Secondary",100,100
88705,"English (British)","TEDS Twos",24,"Female","Graduate",68,68
88706,"English (British)","TEDS Twos",24,"Female","Graduate",69,69
88707,"English (British)","TEDS Twos",23,"Male","Primary",8,8
88708,"English (British)","TEDS Twos",23,"Male","Primary",10,10
88709,"English (British)","TEDS Twos",23,"Female","None",10,10
88710,"English (British)","TEDS Twos",23,"Female","None",10,10
88711,"English (British)","TEDS Twos",24,"Female","Graduate",26,26
88712,"English (British)","TEDS Twos",23,"Male","Graduate",13,13
88713,"English (British)","TEDS Twos",32,"Female","Secondary",65,65
88714,"English (British)","TEDS Twos",32,"Female","Secondary",65,65
88715,"English (British)","TEDS Twos",24,"Female","Graduate",79,79
88716,"English (British)","TEDS Twos",24,"Female","Graduate",65,65
88717,"English (British)","TEDS Twos",24,"Female","College",63,63
88718,"English (British)","TEDS Twos",24,"Female","College",58,58
88719,"English (British)","TEDS Twos",22,"Female","Some Secondary",100,100
88720,"English (British)","TEDS Twos",22,"Female","Some Secondary",100,100
88721,"English (British)","TEDS Twos",23,"Female","Secondary",64,64
88722,"English (British)","TEDS Twos",23,"Male","Secondary",72,72
88723,"English (British)","TEDS Twos",23,"Male","College",53,53
88724,"English (British)","TEDS Twos",23,"Male","College",58,58
88725,"English (British)","TEDS Twos",24,"Male","Some Secondary",18,18
88726,"English (British)","TEDS Twos",24,"Male","Some Secondary",23,23
88727,"English (British)","TEDS Twos",24,"Female","None",16,16
88728,"English (British)","TEDS Twos",24,"Male","None",10,10
